"PVWatts Hourly PV Performance Data"
"Requested Location","weymouth"
"Location","Lat, Lng: 50.61, -2.46"
"Latitude (DD)","50.61"
"Longitude (DD)","-2.46"
"Elevation (m)","6"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","12.3","8.5","0.2","0","12.3","0","0"
"1","1","1","0","0","12.4","8.6","0.2","0","12.4","0","0"
"1","1","2","0","0","12.3","8.5","0.2","0","12.3","0","0"
"1","1","3","0","0","12.2","7.9","0.2","0","12.2","0","0"
"1","1","4","0","0","12","7.3","0.2","0","12","0","0"
"1","1","5","0","0","11.9","7.3","0.2","0","11.9","0","0"
"1","1","6","0","0","11.9","7.1","0.2","0","11.9","0","0"
"1","1","7","0","0","11.8","6.9","0.2","0","11.8","0","0"
"1","1","8","0","0","11.9","6.8","0.2","0","0","0","0"
"1","1","9","0","3","11.9","6.8","0.2","2.778","11.934","7.871","0"
"1","1","10","0","4","12","6.9","0.2","3.706","12.045","10.946","0"
"1","1","11","0","4","12.1","7.1","0.2","3.708","12.144","10.997","0"
"1","1","12","0","5","12","7.3","0.2","4.635","12.055","13.915","0"
"1","1","13","0","4","11.9","7.3","0.2","3.707","11.944","10.99","0"
"1","1","14","0","4","11.7","7.3","0.2","3.705","11.743","10.858","0"
"1","1","15","0","10","11.5","7.2","0.2","9.271","11.604","23.616","6.925"
"1","1","16","0","0","11.4","7.1","0.2","0","11.4","0","0"
"1","1","17","0","0","11.3","7.4","0.2","0","11.3","0","0"
"1","1","18","0","0","11","7.7","0.2","0","11","0","0"
"1","1","19","0","0","10.6","7","0.2","0","10.6","0","0"
"1","1","20","0","0","10.4","6.4","0.2","0","10.4","0","0"
"1","1","21","0","0","10.2","6.8","0.2","0","10.2","0","0"
"1","1","22","0","0","9.9","7.1","0.2","0","9.9","0","0"
"1","1","23","0","0","9.4","7","0.2","0","9.4","0","0"
"1","2","0","0","0","8.9","6.8","0.2","0","8.9","0","0"
"1","2","1","0","0","8.7","6.8","0.2","0","8.7","0","0"
"1","2","2","0","0","8.6","7","0.2","0","8.6","0","0"
"1","2","3","0","0","8.4","7.7","0.2","0","8.4","0","0"
"1","2","4","0","0","8.1","8.3","0.2","0","8.1","0","0"
"1","2","5","0","0","7.9","8.3","0.2","0","7.9","0","0"
"1","2","6","0","0","7.8","8","0.2","0","7.8","0","0"
"1","2","7","0","0","7.7","7.7","0.2","0","7.7","0","0"
"1","2","8","0","0","7.9","7.7","0.2","0","0","0","0"
"1","2","9","0","30","8.3","8","0.2","27.876","8.604","89.504","70.478"
"1","2","10","0","50","8.5","8.3","0.2","46.612","8.999","156.852","135.44"
"1","2","11","1","90","8.5","8.8","0.2","89.641","9.419","310.466","283.611"
"1","2","12","1","95","8.4","9.1","0.2","94.884","9.349","329.538","302.007"
"1","2","13","1","81","8.3","9.2","0.2","80.436","9.098","277.415","251.73"
"1","2","14","3","101","8.3","9.1","0.2","115.828","9.454","399.478","369.468"
"1","2","15","0","26","8.3","8.7","0.2","25.326","8.549","70.076","51.739"
"1","2","16","0","0","8.6","8.4","0.2","0","8.6","0","0"
"1","2","17","0","0","8.9","8.3","0.2","0","8.9","0","0"
"1","2","18","0","0","8.9","8.4","0.2","0","8.9","0","0"
"1","2","19","0","0","8.9","8.6","0.2","0","8.9","0","0"
"1","2","20","0","0","9","8.7","0.2","0","9","0","0"
"1","2","21","0","0","9.3","8.9","0.2","0","9.3","0","0"
"1","2","22","0","0","9.8","9.4","0.2","0","9.8","0","0"
"1","2","23","0","0","10.2","10.4","0.2","0","10.2","0","0"
"1","3","0","0","0","10.4","11.8","0.2","0","10.4","0","0"
"1","3","1","0","0","10.6","13","0.2","0","10.6","0","0"
"1","3","2","0","0","11.1","14.1","0.2","0","11.1","0","0"
"1","3","3","0","0","11.7","14.9","0.2","0","11.7","0","0"
"1","3","4","0","0","12.1","15","0.2","0","12.1","0","0"
"1","3","5","0","0","12.2","14.9","0.2","0","12.2","0","0"
"1","3","6","0","0","12.3","15.4","0.2","0","12.3","0","0"
"1","3","7","0","0","12.3","16.2","0.2","0","12.3","0","0"
"1","3","8","0","0","12.5","16.9","0.2","0","0","0","0"
"1","3","9","0","3","12.6","16.9","0.2","2.778","12.617","7.848","0"
"1","3","10","0","6","12.5","15","0.2","5.561","12.537","16.719","0.272"
"1","3","11","0","4","11.5","12.5","0.2","3.708","11.529","11.034","0"
"1","3","12","1","48","10.7","11.3","0.2","45.221","11.082","151.491","130.269"
"1","3","13","4","118","10.6","11.4","0.2","127.26","11.668","442.027","410.51"
"1","3","14","0","21","10.5","11.6","0.2","19.486","10.661","62.194","44.136"
"1","3","15","1","50","10.2","11.3","0.2","63.06","10.71","183.153","160.809"
"1","3","16","0","0","9.7","10.6","0.2","0","9.7","0","0"
"1","3","17","0","0","9.3","10","0.2","0","9.3","0","0"
"1","3","18","0","0","9.1","9.8","0.2","0","9.1","0","0"
"1","3","19","0","0","9.1","10","0.2","0","9.1","0","0"
"1","3","20","0","0","9.1","10.1","0.2","0","9.1","0","0"
"1","3","21","0","0","9","10.4","0.2","0","9","0","0"
"1","3","22","0","0","8.9","10.7","0.2","0","8.9","0","0"
"1","3","23","0","0","8.8","10.9","0.2","0","8.8","0","0"
"1","4","0","0","0","8.7","10.9","0.2","0","8.7","0","0"
"1","4","1","0","0","8.4","10.5","0.2","0","8.4","0","0"
"1","4","2","0","0","8.2","9.9","0.2","0","8.2","0","0"
"1","4","3","0","0","8.2","9.3","0.2","0","8.2","0","0"
"1","4","4","0","0","8.3","8.6","0.2","0","8.3","0","0"
"1","4","5","0","0","8.4","8.1","0.2","0","8.4","0","0"
