Operation Policy,WFH Type,Battery,PV,Cost
hybrid_bidirectional,1,7.214999999999999,4.468571,8904.6095
hybrid_bidirectional,2,2.55,4.159999,6372.997
hybrid_bidirectional,3,2.145,3.622856000000001,5515.269000000001
hybrid_unidirectional,1,11.775000000000002,4.5628565000000005,11120.065500000002
hybrid_unidirectional,2,10.28,4.231427999999999,10018.081500000002
hybrid_unidirectional,3,10.034999999999997,4.079999000000001,9716.095000000001
optimal_bidirectional,1,1.6149999999999998,0.9914286999999999,1982.1861500000002
optimal_bidirectional,2,2.49,1.6771436000000004,3241.828
optimal_bidirectional,3,2.2300000000000004,3.0657135,4857.942
optimal_unidirectional,1,10.059999999999999,4.1085709999999995,9763.313
optimal_unidirectional,2,10.29,4.1371424999999995,9904.823999999999
optimal_unidirectional,3,10.14,4.025713999999999,9696.539999999999
safe_bidirectional,1,11.975000000000001,4.619999,11283.494499999999
safe_bidirectional,2,10.415,4.302856500000001,10169.475000000002
safe_bidirectional,3,9.81,4.054284000000001,9580.445500000002
safe_unidirectional,1,12.06,4.599999,11297.594000000001
safe_unidirectional,2,10.575000000000001,4.285712999999999,10221.634000000002
safe_unidirectional,3,10.094999999999999,4.094285,9761.552499999998
